name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YOR179C	0.933333	0.0509625	3.50198	10	0.0220472	0
YPR107C	0.657143	0.0376048	1073.91	33	50.7158	1
YAL045C	0.666667	0.0462626	342.085	0.001	1.04463e-12	0
YDR328C	0.06621	0.0208323	81515.5	65	279.16	1
YJR063W	0.116402	0.0204306	39445.1	30	21.5996	0
YAL047C	0.166667	0.0145834	12240.2	10	0.0922726	0
YCL032W	0.0660661	0.0220517	37950.5	0.001	5.92878e-13	0
YEL061C	0.25	0.0235605	3771.18	2	0.00232405	0
YGL212W	0.118577	0.0277778	16707.3	10	1.1795	0
YGR218W	0.0479421	0.0109615	118721	9	0.0599023	1
YHR172W	0.416667	0.00647823	9421.17	11	0.00920231	1
YIL061C	0.0667252	0.0145953	105259	115	484.722	1
YLR045C	0.466667	0.0116923	1757.48	9	0.0111745	1
YLR212C	0.4	0.0642824	4038.86	12	47.6683	1
YLR429W	0.24359	0.0332313	2042.11	10	0.606633	0
YMR047C	0.0224458	0.00956067	434853	36	3.80487	1
YNL126W	0.666667	0.102564	526.639	12	67.1347	1
YNL188W	0.5	0.0981508	83.8181	9	2.83537	1
YPL093W	0.162821	0.0195947	14289.4	5	0.0428733	1
YAL048C	1	0.0693802	0	0.001	0	0
YAL049C	0.666667	0.0839161	16.9205	0.001	5.59375e-13	0
YDL025C	0.177536	0.0192916	10361.6	0.001	2.54794e-13	0
YNL094W	0.116279	0.0102415	52834.6	0.001	6.75882e-14	0
YAL051W	1	0.666667	0	3	0	0
YOR363C	0.666667	0.321429	5050	3	970.291	0
YER100W	0.105072	0.0272521	10758.1	0.001	6.23478e-13	0
YLR083C	0.138528	0.027683	20891.5	0.001	1.69966e-12	0
YLR292C	0.138528	0.0129246	26646.7	12	0.17799	0
YML072C	0.666667	0.110345	138.423	0.001	1.36812e-11	0
YOR153W	1	0.25	0	0.001	0	0
YAL054C	0.5	0.0191981	862.826	0.001	5.86041e-14	0
YHR041C	0.163306	0.0194746	29818.5	51	92.9118	0
YLR049C	0.5	0.0337466	402.554	0.001	2.61043e-13	0
YAL055W	0.571429	0.0473389	2013.52	0.001	5.77819e-12	0
YDR265W	0.666667	0.0327657	2684.69	1	0.00206292	0
YGR133W	0.666667	0.327273	45.7725	0.001	3.50068e-10	0
YMR026C	0.355556	0.0202628	4041.2	1	0.000242223	0
YOL044W	0.269231	0.031677	9461.7	0.001	2.5649e-12	0
YAL056W	1	0.114286	0	0.001	0	0
