name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YBR217W	0.1810	0.0160	25776.4637	2.0000	0.0024	0
YCR030C	0.1583	0.0481	27425.2343	0.0010	0.0000	0
YAR033W	0.6667	0.4000	4542.0000	1.0000	77.5168	0
YGL051W	1.0000	0.6667	0.0000	1.0000	0.0000	0
YKL174C	0.5000	0.1714	10846.7651	0.0010	0.0000	0
YAR035W	0.4000	0.0161	8189.6596	0.0010	0.0000	0
YGR069W	0.6667	0.8884	102.5412	0.0010	0.0000	0
YLR295C	0.0251	0.0215	611797.6755	39.0000	193.1150	0
YLR381W	1.0000	0.4000	0.0000	0.0010	0.0000	0
YLR447C	0.0379	0.0285	349340.9042	51.0000	1162.9348	0
YAR042W	0.6000	0.0193	4856.3713	0.0010	0.0000	0
YAR044W	0.5000	0.1232	995.2385	0.0010	0.0000	0
YDL019C	0.6000	0.1500	372.9348	0.0010	0.0000	0
YHL020C	0.4000	0.0968	2596.5803	0.0010	0.0000	0
YER120W	0.4000	0.1987	3573.6640	0.0010	0.0000	0
YLR191W	0.2190	0.0064	42830.3561	2.0000	0.0001	0
YAR047C	1.0000	0.3138	0.0000	0.0010	0.0000	0
YAR060C	0.6667	0.0250	2270.5000	0.0010	0.0000	0
YKR019C	0.6667	0.6667	0.5000	0.0010	0.0000	0
YAR061W	0.6667	0.3214	134.6104	0.0010	0.0000	0
YJR086W	0.4667	0.0706	7759.0932	6.0000	19.4178	0
YAR064W	0.6667	0.0413	1032.9398	0.0010	0.0000	0
YBR109C	0.0522	0.0466	108177.2493	0.0010	0.0000	1
YGL070C	0.0881	0.0498	160606.0976	73.0000	33917.9264	0
YAR066W	0.4000	0.0119	6832.1516	0.0010	0.0000	0
YDR074W	0.2727	0.0265	13650.4043	5.0000	0.2291	0
YLR145W	0.6667	0.4000	23.6281	0.0010	0.0000	1
YPR086W	0.0197	0.0270	462970.8082	22.0000	51.4774	1
YAR069C	1.0000	0.5000	0.0000	0.0010	0.0000	0
YPL215W	0.5000	0.1658	9083.0000	0.0010	0.0000	0
YAR071W	1.0000	0.0259	0.0000	0.0010	0.0000	0
YLR453C	0.0259	0.0279	332743.0707	3.0000	0.1410	0
YAR073W	1.0000	0.2444	0.0000	0.0010	0.0000	0
YLR432W	0.2778	0.0709	11124.4735	0.0010	0.0000	0
YML056C	0.6000	0.1462	740.1590	0.0010	0.0000	0
YBL001C	0.5000	0.0177	11045.6528	0.0010	0.0000	0
YDR510W	0.0969	0.0052	145120.8963	0.0010	0.0000	1
YER067W	0.5000	0.1818	4646.3276	0.0010	0.0000	0
YPL068C	1.0000	0.5000	0.0000	0.0010	0.0000	0
